"date","geography","geography code","Length of residence in the UK: Total: All usual residents; measures: Value","Length of residence in the UK: Born in the UK; measures: Value","Length of residence in the UK: 10 years or more; measures: Value","Length of residence in the UK: 5 years or more, but less than 10 years; measures: Value","Length of residence in the UK: 2 years or more, but less than 5 years; measures: Value","Length of residence in the UK: Less than 2 years; measures: Value"
2021,"Sutton 009","E02000848",8139,6297,1373,228,134,107
2021,"Sutton 010","E02000849",8177,6401,1262,277,128,109
2021,"Sutton 011","E02000850",10837,8236,2064,290,146,101
2021,"Sutton 012","E02000851",11581,6813,2344,1056,706,662
2021,"Sutton 013","E02000852",8147,5874,1466,426,239,142
2021,"Sutton 014","E02000853",8172,5738,1679,373,237,145
2021,"Sutton 015","E02000854",7612,6142,1059,260,99,52
2021,"Sutton 016","E02000855",8204,6528,1270,205,118,83
2021,"Sutton 017","E02000856",9330,6852,1737,401,208,132
2021,"Sutton 018","E02000857",8995,5306,1972,785,587,345
2021,"Sutton 019","E02000858",8568,6373,1635,276,170,114
2021,"Sutton 020","E02000859",8487,6588,1450,243,124,82
2021,"Sutton 021","E02000860",8785,5238,1921,760,512,354
2021,"Sutton 022","E02000861",7776,6024,1420,166,101,65
2021,"Sutton 024","E02000863",6736,5180,1285,146,70,55
2021,"Sutton 025","E02006836",8723,6233,1850,325,186,129
2021,"Tower Hamlets 001","E02000864",11263,7340,2323,758,515,327
2021,"Tower Hamlets 002","E02000865",7958,4906,1681,451,388,532
2021,"Tower Hamlets 003","E02000866",10643,7107,2022,635,512,367
2021,"Tower Hamlets 004","E02000867",11328,6925,2185,846,772,600
2021,"Tower Hamlets 005","E02000868",7194,4085,1582,547,542,438
2021,"Tower Hamlets 006","E02000869",5931,3595,1327,341,315,353
2021,"Tower Hamlets 007","E02000870",6371,3928,1262,424,395,362
2021,"Tower Hamlets 008","E02000871",11514,6271,2868,962,776,637
2021,"Tower Hamlets 009","E02000872",8145,4367,1853,674,612,639
2021,"Tower Hamlets 010","E02000873",9850,5446,2126,648,600,1030
2021,"Tower Hamlets 011","E02000874",7496,4052,1719,500,529,696
2021,"Tower Hamlets 012","E02000875",13571,7613,3427,1106,800,625
2021,"Tower Hamlets 013","E02000876",7274,3638,1665,613,620,738
2021,"Tower Hamlets 014","E02000877",13809,7736,3250,1145,944,734
2021,"Tower Hamlets 015","E02000878",10432,4675,2364,851,890,1652
2021,"Tower Hamlets 016","E02000879",8343,4581,2071,586,581,524
2021,"Tower Hamlets 017","E02000880",6517,3326,1569,467,584,571
2021,"Tower Hamlets 018","E02000881",10831,5906,2457,954,870,644
2021,"Tower Hamlets 019","E02000882",11501,6971,2954,637,555,384
2021,"Tower Hamlets 020","E02000883",9288,5125,2250,861,614,438
2021,"Tower Hamlets 021","E02000884",12769,5461,2649,1164,1320,2175
2021,"Tower Hamlets 022","E02000885",7054,3749,1900,528,482,395
2021,"Tower Hamlets 023","E02000886",9591,4871,2155,979,916,670
2021,"Tower Hamlets 024","E02000887",10801,5817,2530,991,829,634
2021,"Tower Hamlets 025","E02000888",8623,4463,2116,806,662,576
2021,"Tower Hamlets 026","E02000889",8966,4494,1992,903,808,769
2021,"Tower Hamlets 027","E02000890",5816,3258,1175,587,437,359
2021,"Tower Hamlets 030","E02000893",7412,4037,1585,742,640,408
2021,"Tower Hamlets 031","E02000894",11007,5349,2455,1312,1045,846
2021,"Tower Hamlets 032","E02006853",11015,4541,2475,1339,1346,1314
2021,"Tower Hamlets 033","E02006854",7074,2580,1593,926,969,1006
2021,"Tower Hamlets 034","E02007112",5892,2199,1219,893,823,758
2021,"Tower Hamlets 035","E02007113",7462,3243,1693,817,796,913
2021,"Tower Hamlets 036","E02007114",7565,3425,1573,820,764,983
2021,"Waltham Forest 001","E02000895",8371,6395,1576,190,120,90
2021,"Waltham Forest 002","E02000896",9328,7387,1328,290,213,110
2021,"Waltham Forest 003","E02000897",8566,6552,1491,260,177,86
2021,"Waltham Forest 004","E02000898",8011,6102,1425,258,126,100
2021,"Waltham Forest 005","E02000899",8808,5960,1882,474,292,200
2021,"Waltham Forest 006","E02000900",8975,5786,2256,438,304,191
2021,"Waltham Forest 007","E02000901",10492,8042,1612,467,274,97
2021,"Waltham Forest 008","E02000902",9959,6576,2407,504,308,164
2021,"Waltham Forest 009","E02000903",10275,6387,2632,638,369,249
2021,"Waltham Forest 010","E02000904",8425,5489,1934,538,304,160
2021,"Waltham Forest 011","E02000905",10474,6517,2489,751,446,271
2021,"Waltham Forest 012","E02000906",9653,5946,2459,616,384,248
2021,"Waltham Forest 013","E02000907",10580,6303,2838,739,480,220
2021,"Waltham Forest 014","E02000908",12903,7415,3296,1041,657,494
2021,"Waltham Forest 015","E02000909",9249,6187,1984,531,330,217
2021,"Waltham Forest 016","E02000910",11429,6591,2668,982,766,422
2021,"Waltham Forest 017","E02000911",12963,7167,3281,1282,824,409
2021,"Waltham Forest 018","E02000912",9742,5818,2532,706,418,268
2021,"Waltham Forest 019","E02000913",9643,5698,2577,597,460,311
2021,"Waltham Forest 020","E02000914",11798,6127,3551,1027,679,414
2021,"Waltham Forest 021","E02000915",8111,4986,1855,619,394,257
2021,"Waltham Forest 022","E02000916",10563,5761,2852,971,607,372
2021,"Waltham Forest 023","E02000917",9589,5174,2317,1013,708,377
2021,"Waltham Forest 024","E02000918",9323,5192,2321,790,636,384
2021,"Waltham Forest 025","E02000919",9239,4700,2359,914,779,487
2021,"Waltham Forest 026","E02000920",10298,5345,2879,934,730,410
2021,"Waltham Forest 027","E02000921",11198,6007,3086,937,721,447
2021,"Waltham Forest 028","E02000922",10461,5460,2709,1074,755,463
2021,"Wandsworth 001","E02000923",7526,4131,1811,629,502,453
2021,"Wandsworth 003","E02000925",7900,4588,1951,568,492,301
2021,"Wandsworth 004","E02000926",11640,6556,2410,1106,898,670
2021,"Wandsworth 005","E02000927",7099,4803,1240,451,353,252
2021,"Wandsworth 006","E02000928",8356,5871,1402,450,330,303
2021,"Wandsworth 007","E02000929",8107,4484,2193,707,428,295
2021,"Wandsworth 008","E02000930",10081,6290,1599,694,754,744
2021,"Wandsworth 009","E02000931",8817,5948,1393,586,527,363
2021,"Wandsworth 010","E02000932",12843,7833,2349,1151,922,588
2021,"Wandsworth 011","E02000933",8865,5552,1812,708,446,347
2021,"Wandsworth 012","E02000934",8916,5771,1499,698,576,372
2021,"Wandsworth 013","E02000935",7372,4362,1723,509,316,462
2021,"Wandsworth 014","E02000936",9363,5095,2037,879,775,577
2021,"Wandsworth 015","E02000937",8160,5600,1395,512,392,261
2021,"Wandsworth 016","E02000938",10766,6168,2761,885,547,405
2021,"Wandsworth 017","E02000939",7819,5589,1391,324,289,226
2021,"Wandsworth 018","E02000940",9324,5476,2113,818,522,395
2021,"Wandsworth 019","E02000941",10175,7322,1591,574,400,288
2021,"Wandsworth 020","E02000942",9686,6292,1993,634,459,308
2021,"Wandsworth 021","E02000943",8720,5938,1546,519,425,292
2021,"Wandsworth 022","E02000944",7635,4172,1931,671,484,377
2021,"Wandsworth 023","E02000945",7840,4079,2142,626,538,455
2021,"Wandsworth 024","E02000946",8435,5738,1592,540,370,195
2021,"Wandsworth 025","E02000947",9342,6268,1585,676,483,330
2021,"Wandsworth 026","E02000948",10028,6946,1772,550,431,329
2021,"Wandsworth 027","E02000949",10003,7356,1562,524,341,220
2021,"Wandsworth 028","E02000950",7585,4043,1908,748,544,342
2021,"Wandsworth 029","E02000951",6429,4454,1193,348,233,201
2021,"Wandsworth 030","E02000952",6144,4259,1173,309,245,158
2021,"Wandsworth 031","E02000953",7505,5005,1393,480,336,291
2021,"Wandsworth 032","E02000954",6094,3839,1490,327,217,221
2021,"Wandsworth 033","E02000955",6890,4244,1766,368,312,200
2021,"Wandsworth 034","E02000956",7422,4319,1796,532,433,342
2021,"Wandsworth 035","E02000957",10863,6434,2620,783,563,463
2021,"Wandsworth 036","E02000958",8277,5446,1938,422,242,229
2021,"Wandsworth 037","E02000959",7866,4453,1992,713,435,273
2021,"Wandsworth 038","E02007083",7711,3319,1519,928,1017,928
2021,"Wandsworth 039","E02007084",9887,5277,2638,812,695,465
2021,"Westminster 001","E02000960",6155,2445,1675,565,708,762
2021,"Westminster 002","E02000961",9814,4597,2701,905,842,769
2021,"Westminster 003","E02000962",7703,2869,2207,731,831,1065
2021,"Westminster 004","E02000963",10520,5908,3412,461,394,345
2021,"Westminster 005","E02000964",12142,6271,3775,936,617,543
2021,"Westminster 006","E02000965",7876,3829,2037,753,712,545
2021,"Westminster 007","E02000966",9252,4246,2529,928,831,718
2021,"Westminster 008","E02000967",6056,2155,1392,573,704,1232
2021,"Westminster 009","E02000968",14480,6707,5429,803,741,800
2021,"Westminster 010","E02000969",9607,4795,3250,623,472,467
2021,"Westminster 011","E02000970",6836,2636,1697,749,808,946
2021,"Westminster 012","E02000971",7471,2564,1786,857,1025,1239
2021,"Westminster 013","E02000972",7879,3073,1933,655,932,1286
2021,"Westminster 014","E02000973",9955,4361,2777,1084,898,835
2021,"Westminster 015","E02000974",8705,3067,2147,903,1143,1445
2021,"Westminster 016","E02000975",7417,2632,1836,908,925,1116
2021,"Westminster 017","E02000976",8429,2720,2391,984,1050,1284
2021,"Westminster 018","E02000977",6388,2662,1387,583,714,1042
2021,"Westminster 019","E02000978",7128,2776,1820,705,675,1152
2021,"Westminster 020","E02000979",8084,3826,1888,715,779,876
2021,"Westminster 021","E02000980",8723,4229,2565,640,646,643
2021,"Westminster 022","E02000981",8271,4481,1948,651,541,650
2021,"Westminster 023","E02000982",7638,3824,2406,475,406,527
2021,"Westminster 024","E02000983",7695,4030,2114,502,488,561
